OAG ANALYSER,,,,,,,,,,,,,
VERSION: 2.0.1.  Data load date: 06 Apr 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
SEARCH ATTRIBUTES/PARAMETERS:,,,,,,,,,,,,,
Report Type: Schedules Capacity Report,,,,,,,,,,,,,
"Dimensions: [Published Carrier, Flight Number, Origin, Destination, Departure Time, Arrival Time, Op Days, Elapsed Time, Distance (KM), Stops, Equipment]",,,,,,,,,,,,,
"Metrics: [Frequency, Seats]",,,,,,,,,,,,,
"Type of Operation: Published carrier, Operating Flights",,,,,,,,,,,,,
Carrier Category: All,,,,,,,,,,,,,
Include alliance affiliates: false,,,,,,,,,,,,,
To/From: Airport(s) Included[SJW],,,,,,,,,,,,,
Flight Type: All,,,,,,,,,,,,,
"Service type: C,G,J,Q,S",,,,,,,,,,,,,
Include Surface: false,,,,,,,,,,,,,
Non-stop: true,,,,,,,,,,,,,
"Equipment Group: A,H,J,JN,JW,P,RJ,T,",,,,,,,,,,,,,
Period: Date 04Apr2025 to 04Apr2025,,,,,,,,,,,,,
TimeSeries: true,,,,,,,,,,,,,
,,,,,,,,,,,,,
MONTHLY DATED AT 4 2025,,,,,,,,,,,,,
REPORT DATED AT: Apr 8-2025. TIME: 12:14 (BST),,,,,,,,,,,,,
,,,,,,,,,,,,,
Published Carrier,Flight Number,Origin,Destination,Departure Time,Arrival Time,Op Days,Elapsed Time,Distance (KM),Stops,Equipment,Frequency,Seats,Time series
9C,8994,CKG,SJW,2255,0110,5,02:15,1204,0,320,1,186,2025-04-04
9C,8880,DLC,SJW,0915,1035,1   5,01:20,599,0,320,1,180,2025-04-04
KY,3173,SJW,BPE,1700,1820,1 3 5 7,01:20,407,0,738,1,173,2025-04-04
MU,9035,HIA,SJW,1030,1200,1 3 5 7,01:30,637,0,C27,1,88,2025-04-04
PN,6350,SJW,CKG,0930,1155,1 3 5 7,02:25,1204,0,320,1,179,2025-04-04
TV,9891,CTU,SJW,0915,1130,123456,02:15,1304,0,320,1,167,2025-04-04
KY,3173,KMG,SJW,1250,1555,1 3 5 7,03:05,1833,0,738,1,173,2025-04-04
PN,6349,CKG,SJW,0635,0840,123 567,02:05,1204,0,320,1,179,2025-04-04
9C,6156,ZUH,SJW,1305,1605,5,03:00,1812,0,320,1,180,2025-04-04
9C,8673,SJW,HRB,1640,1900,1   5 7,02:20,1255,0,320,1,186,2025-04-04
9C,7005,SJW,URC,1025,1430,1 3 5,04:05,2351,0,320,1,186,2025-04-04
KN,2316,KMG,SJW,2120,0020,345,03:00,1833,0,737,1,185,2025-04-04
KN,2319,SJW,DBC,1435,1645,1234567,02:10,1057,0,737,1,185,2025-04-04
G5,4940,SJW,TFU,2125,2350,1 3 5,02:25,1289,0,32B,1,179,2025-04-04
EU,2833,TFU,SJW,1410,1620,1234567,02:10,1289,0,320,1,178,2025-04-04
G5,4944,SJW,CKG,1420,1705,1 3 5 7,02:45,1204,0,32A,1,179,2025-04-04
JD,5891,HAK,SJW,1005,1325,5 7,03:20,2078,0,320,1,175,2025-04-04
JD,5179,SYX,SJW,1740,2105,5,03:25,2277,0,32Q,1,179,2025-04-04
NS,3335,HGH,SJW,1145,1400,3 5 7,02:15,1038,0,738,1,183,2025-04-04
NS,3224,KWE,SJW,1155,1425,1 3 5 7,02:30,1497,0,738,1,169,2025-04-04
NS,3204,CAN,SJW,1230,1510,123 567,02:40,1659,0,738,1,169,2025-04-04
NS,3290,SJW,XMN,1905,2155,1234567,02:50,1559,0,738,1,183,2025-04-04
NS,3291,SJW,DSN,1100,1215,1234567,01:15,439,0,738,1,183,2025-04-04
NS,3241,CKG,SJW,1100,1305,1234567,02:05,1204,0,738,1,169,2025-04-04
NS,3239,SJW,CKG,0715,0935,1234567,02:20,1204,0,738,1,169,2025-04-04
NS,3656,SZX,SJW,2020,2320,1 3 5 7,03:00,1738,0,738,1,169,2025-04-04
NS,3336,SJW,HGH,1920,2130,3 5 7,02:10,1038,0,738,1,183,2025-04-04
MU,9029,SJW,DSN,1515,1635,1 3 5 7,01:20,439,0,C27,1,88,2025-04-04
9C,8661,SJW,CGQ,1700,1900,5,02:00,1117,0,320,1,180,2025-04-04
9C,6201,SJW,INC,0800,0945,12345,01:45,756,0,320,1,186,2025-04-04
9C,7180,TFU,SJW,1705,1925,1234567,02:20,1289,0,320,1,186,2025-04-04
KN,2329,SJW,XMN,1530,1805,1234567,02:35,1559,0,737,1,185,2025-04-04
MU,2327,LHW,SJW,1600,1755,1234567,01:55,995,0,320,1,156,2025-04-04
JD,5892,CIF,SJW,1630,1755,567,01:25,557,0,320,1,175,2025-04-04
JD,5532,HRB,SJW,1715,1940,1   5 7,02:25,1255,0,321,1,211,2025-04-04
JD,5531,SYX,SJW,0910,1240,123 5 7,03:30,2277,0,321,1,211,2025-04-04
JD,5531,SJW,HRB,1340,1605,123 5 7,02:25,1255,0,321,1,211,2025-04-04
NS,3211,SJW,ZQZ,1215,1325,1 3 5 7,01:10,274,0,738,1,183,2025-04-04
9C,6951,SJW,KMG,1040,1345,5,03:05,1833,0,320,1,180,2025-04-04
9C,8556,HGH,SJW,1620,1835,12345,02:15,1038,0,320,1,186,2025-04-04
MU,2844,SJW,DLC,1555,1725,1234567,01:30,599,0,320,1,156,2025-04-04
CA,2734,SJW,TFU,1140,1425,1234567,02:45,1289,0,C27,1,90,2025-04-04
CA,2708,SJW,TFU,2020,2310,1234567,02:50,1289,0,C27,1,90,2025-04-04
EU,1861,GYU,SJW,1035,1155,1 3 5 7,01:20,789,0,320,1,89,2025-04-04
EU,1862,SJW,GYU,2000,2140,1 3 5 7,01:40,789,0,320,1,89,2025-04-04
G5,4939,TFU,SJW,1415,1630,1 3 5 7,02:15,1289,0,32B,1,179,2025-04-04
HU,7544,SJW,LHW,1625,1845,1   5 7,02:20,995,0,738,1,169,2025-04-04
JD,5573,SJW,SHE,2155,0015,1   5,02:20,837,0,320,1,179,2025-04-04
JD,5532,SJW,SYX,2030,0005,1   5 7,03:35,2277,0,321,1,211,2025-04-04
NS,3289,XMN,SJW,1200,1440,1234567,02:40,1559,0,738,1,183,2025-04-04
GY,7115,YBP,SJW,1545,1815,1 3 5 7,02:30,1408,0,32B,1,110,2025-04-04
9C,8762,SJW,SWA,1810,2105,1   5,02:55,1661,0,320,1,186,2025-04-04
9C,6787,SJW,LHW,1805,2015,5,02:10,995,0,320,1,186,2025-04-04
9C,6155,SJW,ZUH,0900,1215,5,03:15,1812,0,320,1,180,2025-04-04
9C,7081,SJW,KWE,1615,1905,1 3 5,02:50,1497,0,320,1,186,2025-04-04
KN,5769,HYN,SJW,2040,2255,123 5 7,02:15,1246,0,737,1,185,2025-04-04
MU,2843,DLC,SJW,0830,1000,1234567,01:30,599,0,320,1,156,2025-04-04
TV,9976,SJW,CTU,2130,2350,1 3 5 7,02:20,1304,0,320,1,167,2025-04-04
HU,7543,LHW,SJW,0900,1055,1 3 5 7,01:55,995,0,738,1,169,2025-04-04
QW,6085,LJG,SJW,1425,1720,1234567,02:55,1865,0,320,1,179,2025-04-04
EU,1894,SJW,HLH,1250,1505,1 3 5 7,02:15,1064,0,320,1,89,2025-04-04
G5,4943,CKG,SJW,0645,0900,1 3 5 7,02:15,1204,0,32A,1,179,2025-04-04
JD,5279,HGH,SJW,0920,1125,1234567,02:05,1038,0,321,1,218,2025-04-04
NS,3221,SJW,MIG,1725,1930,123456,02:05,1183,0,738,1,169,2025-04-04
NS,3203,SJW,CAN,0815,1125,123 567,03:10,1659,0,738,1,169,2025-04-04
NS,3525,SJW,KIX,1605,2000,1 3 5 7,02:55,1883,0,738,1,183,2025-04-04
NS,3245,SJW,NKG,0710,0850,12 45 7,01:40,818,0,738,1,183,2025-04-04
NS,3209,SJW,TFU,1615,1850,1234567,02:35,1289,0,738,1,183,2025-04-04
9C,7278,SJW,SHA,1620,1820,1 3 5 7,02:00,993,0,320,1,186,2025-04-04
9C,8644,NNG,SJW,1250,1550,1234567,03:00,1848,0,320,1,186,2025-04-04
CZ,6954,SJW,DLC,1320,1455,1 3 56,01:35,599,0,320,1,151,2025-04-04
KN,2320,SJW,PVG,2025,2240,1 3 5 7,02:15,1024,0,737,1,185,2025-04-04
KN,2338,YIW,SJW,1130,1345,1234567,02:15,1107,0,737,1,185,2025-04-04
3U,6851,TFU,SJW,0900,1110,1 3 5 7,02:10,1289,0,320,1,163,2025-04-04
EU,2834,SJW,TFU,2115,2355,1234567,02:40,1289,0,320,1,178,2025-04-04
CA,8154,SJW,HET,1800,1935,1234567,01:35,377,0,C27,1,90,2025-04-04
HU,7544,LYG,SJW,1405,1535,1 3 5 7,01:30,586,0,738,1,169,2025-04-04
NS,3312,KMG,SJW,1205,1515,3 5,03:10,1833,0,738,1,183,2025-04-04
9C,8762,HRB,SJW,1500,1720,1   5,02:20,1255,0,320,1,186,2025-04-04
9C,7006,SJW,NGB,2005,2225,1 3 5,02:20,1125,0,320,1,186,2025-04-04
KN,2356,PVG,SJW,2150,0010,1234567,02:20,1024,0,737,1,185,2025-04-04
KN,5026,BAV,SJW,1350,1510,1 3 5 7,01:20,476,0,737,1,185,2025-04-04
KN,2320,DBC,SJW,1730,1935,1234567,02:05,1057,0,737,1,185,2025-04-04
KY,3174,BPE,SJW,1905,2010,1 3 5 7,01:05,407,0,738,1,173,2025-04-04
MU,2328,SJW,LHW,1845,2045,1234567,02:00,995,0,320,1,156,2025-04-04
MU,2843,SJW,INC,1055,1240,1234567,01:45,756,0,320,1,156,2025-04-04
3U,6852,SJW,TFU,1200,1430,1 3 5 7,02:30,1289,0,320,1,163,2025-04-04
NS,3222,MIG,SJW,2030,2235,123456,02:05,1183,0,738,1,169,2025-04-04
NS,3246,NKG,SJW,1505,1645,12  5,01:40,818,0,738,1,183,2025-04-04
NS,3335,SJW,HET,1455,1615,3 5 7,01:20,377,0,738,1,183,2025-04-04
KN,5026,SJW,WNZ,1605,1840,1234567,02:35,1286,0,737,1,185,2025-04-04
8L,9555,KMG,SJW,0755,1120,1   5,03:25,1833,0,737,1,188,2025-04-04
8L,9555,SJW,HRB,1210,1425,1   5,02:15,1255,0,737,1,188,2025-04-04
9C,7277,SHA,SJW,0650,0850,1 3 5 7,02:00,993,0,320,1,186,2025-04-04
CZ,3132,SJW,CAN,0835,1140,1234567,03:05,1659,0,320,1,159,2025-04-04
JD,5347,SJW,CGQ,1635,1835,12 4567,02:00,1117,0,321,1,210,2025-04-04
NS,3508,KRL,SJW,1240,1635,1   5,03:55,2449,0,738,1,168,2025-04-04
G5,4939,SJW,CDE,1730,1835,1 3 5 7,01:05,428,0,32B,1,179,2025-04-04
JD,5891,SJW,CIF,1415,1540,5 7,01:25,557,0,320,1,175,2025-04-04
JD,5573,LJG,SJW,1800,2055,1   5,02:55,1865,0,320,1,179,2025-04-04
NS,3655,SJW,SZX,1610,1915,1 3 5 7,03:05,1738,0,738,1,169,2025-04-04
NS,3290,DAT,SJW,1715,1815,1234567,01:00,209,0,738,1,183,2025-04-04
NS,3292,DSN,SJW,1300,1405,1234567,01:05,439,0,738,1,183,2025-04-04
ZH,9137,SZX,SJW,0720,1025,1234567,03:05,1738,0,738,1,161,2025-04-04
TV,9975,CTU,SJW,1820,2030,1234567,02:10,1304,0,320,1,167,2025-04-04
9C,8976,XMN,SJW,2130,0015,1234567,02:45,1559,0,320,1,186,2025-04-04
9C,8628,KWL,SJW,1450,1715,5,02:25,1514,0,320,1,186,2025-04-04
9C,8761,SWA,SJW,0800,1055,5,02:55,1661,0,320,1,186,2025-04-04
9C,6540,SJW,SZX,2150,0100,1   567,03:10,1738,0,320,1,186,2025-04-04
KN,5025,WNZ,SJW,0740,1015,1234567,02:35,1286,0,737,1,185,2025-04-04
KN,2315,SJW,KMG,0730,1045,1  456,03:15,1833,0,737,1,185,2025-04-04
MU,9030,DSN,SJW,1735,1900,1234567,01:25,439,0,C27,1,88,2025-04-04
CA,8153,HET,SJW,1455,1635,1234567,01:40,377,0,C27,1,90,2025-04-04
CA,2733,TFU,SJW,0820,1055,1234567,02:35,1289,0,C27,1,90,2025-04-04
JD,5574,SJW,LJG,1150,1450,1 3 5,03:00,1865,0,320,1,173,2025-04-04
NS,3240,CKG,SJW,2230,0030,12345 7,02:00,1204,0,738,1,169,2025-04-04
NS,3334,NTG,SJW,2120,2315,3 5 7,01:55,893,0,738,1,169,2025-04-04
NS,3263,SJW,XMN,0810,1055,2345 7,02:45,1559,0,738,1,183,2025-04-04
NS,3242,SHE,SJW,1605,1800,1234567,01:55,837,0,738,1,169,2025-04-04
NS,3610,SYX,SJW,2035,0010,1234567,03:35,2277,0,738,1,183,2025-04-04
NS,3241,SJW,SHE,1410,1555,1234567,01:45,837,0,738,1,169,2025-04-04
8L,9556,SJW,KMG,1835,2145,1   5,03:10,1833,0,737,1,188,2025-04-04
9C,6202,INC,SJW,1035,1215,12345,01:40,756,0,320,1,186,2025-04-04
9C,6539,SZX,SJW,1250,1555,1   567,03:05,1738,0,320,1,186,2025-04-04
MU,9029,PVG,SJW,1145,1410,1234567,02:25,1024,0,C27,1,88,2025-04-04
MU,2844,INC,SJW,1340,1505,1 345 7,01:25,756,0,320,1,156,2025-04-04
EU,2833,SJW,BPE,1710,1815,1234567,01:05,407,0,320,1,178,2025-04-04
JD,5279,SJW,URC,1215,1615,1234567,04:00,2351,0,321,1,218,2025-04-04
JD,5574,SHE,SJW,0915,1100,1 3 5,01:45,837,0,320,1,173,2025-04-04
NS,3291,XMN,SJW,0725,1010,1234567,02:45,1559,0,738,1,183,2025-04-04
NS,3609,SJW,SYX,0815,1200,1234567,03:45,2277,0,738,1,183,2025-04-04
QW,6086,SJW,LJG,1810,2120,1234567,03:10,1865,0,320,1,179,2025-04-04
9C,8662,CGQ,SJW,1245,1455,1234567,02:10,1117,0,320,1,186,2025-04-04
CZ,6954,URC,SJW,0835,1230,1 3 56,03:55,2351,0,320,1,151,2025-04-04
GY,7116,SJW,YBP,1915,2200,1 3 5 7,02:45,1408,0,32B,1,110,2025-04-04
PN,6317,CKG,SJW,2015,2215,3 5 7,02:00,1204,0,320,1,179,2025-04-04
JD,5180,SJW,SYX,2155,0130,5,03:35,2277,0,32Q,1,179,2025-04-04
JD,5280,URC,SJW,1740,2130,1234567,03:50,2351,0,321,1,218,2025-04-04
NS,3269,SJW,KMG,1615,1920,1234567,03:05,1833,0,738,1,183,2025-04-04
NS,3288,HAK,SJW,1315,1625,1234567,03:10,2078,0,738,1,169,2025-04-04
,,,,,,,,,,,,,
Data copyright 2025. OAG Aviation Worldwide Ltd. All right reserved.,,,,,,,,,,,,,
USAGE: 212 RECORDS.,,,,,,,,,,,,,
